punit_idx,E[N],1,2,3,4,5,6
3,1.1808163538484096,0.819278898,0.550679229,0.607520842,0.819278898,,
6,0.6197293312524337,0.374403126,0.374403126,,,,
11,0.7562126739979012,1.491364227,1.047696479,1.790903564,1.491364227,1.491364227,
49,0.3957115747179478,0.696036812,,,,,
21,0.8983875245817649,0.66839441,0.66839441,1.047696479,,,
72,0.8074125776264894,0.550679229,0.550679229,0.607520842,0.819278898,,
5,0.7962450010605908,0.917320965,0.917320965,,,,
89,0.8841252057600443,0.241126178,0.679654055,0.241126178,0.429890303,,
31,0.966462804353591,0.498284557,0.498284557,0.593275359,,,
96,0.45714837749186926,0.234934085,0.338491701,,,,
93,0.6542996792022522,0.464666176,0.464666176,,,,
25,0.652778984442078,0.325672856,0.354698724,0.325672856,,,
40,0.6209475343757063,0.555764093,0.555764093,1.019310921,,,
17,0.6443190651370277,0.426455835,,,,,
88,0.5255285600135433,0.429890303,0.303585458,,,,
50,1.0405725724514605,0.386243281,0.198553665,0.35178314,0.198553665,,
85,0.6174901514551543,0.302415181,0.527881884,0.464666176,,,
32,0.5826901835286123,0.354698724,0.554677459,,,,
100,0.9388821091339383,0.486906039,0.138968999,0.138968999,,,
27,0.7029107080138661,0.416770886,0.659158624,,,,
99,0.8388796693383389,0.241126178,0.350474393,0.241126178,,,
27,0.7029107080138661,0.416770886,0.659158624,,,,
97,0.6682900363028361,0.304508319,0.224114334,0.842129698,,,
104,0.8010856321021566,0.842129698,0.842129698,,,,
32,0.5826901835286123,0.602618203,0.554677459,0.554677459,,,
36,0.9163842939203882,0.737668953,0.737668953,0.593275359,0.593275359,,
103,0.679593441366325,0.138968999,0.260911857,0.350474393,,,
10,1.169839388563066,0.819278898,0.819278898,0.104654898,0.104654898,,
35,0.5698714163729398,0.323861484,0.696160728,,,,
87,1.0127245044321544,0.233462495,0.344659649,0.378690387,,,
52,1.0465407948454726,0.613265541,0.35178314,0.613265541,,,
21,0.8983875245817649,1.047696479,0.66839441,1.047696479,,,
71,0.6162218431979963,0.341858376,,,,,
10,1.169839388563066,0.104654898,0.819278898,0.819278898,0.607520842,,
25,0.652778984442078,0.354698724,,,,,
4,0.9458702327182016,0.427978686,0.613532994,0.613532994,,,
30,0.7440759458450895,0.72813035,0.72813035,,,,
14,0.8858416389600893,0.47756148,0.47756148,0.47756148,,,
46,0.461201973080175,1.184897785,,,,,
95,0.755624090116872,0.234934085,0.332597832,0.234934085,,,
85,0.6174901514551543,0.302415181,0.464666176,0.527881884,0.527881884,,
9,0.9813780281991733,0.550679229,0.819278898,0.819278898,0.607520842,,
48,0.43826003509132155,0.747098694,,,,,
102,0.3957115747179478,0.168358228,,,,,
11,0.7562126739979012,0.631606701,1.172203416,0.631606701,1.172203416,,
89,0.8841252057600443,0.241126178,0.241126178,0.429890303,0.241126178,,
87,1.0127245044321544,0.344659649,0.258261644,0.344659649,0.233462495,,
70,0.5281094889395038,0.958913285,0.958913285,,,,
12,0.6392559647410934,1.172203416,1.172203416,,,,
20,0.505897319240431,0.680994673,0.573607907,,,,
79,1.002492400250439,0.28463147,0.28463147,,,,
