punit_idx,E[N],1,2,3,4,5,6,7,8,9
63,0.48912115706779613,0.690604426,,,,,,,,
95,0.8786324463829488,0.464666176,0.234934085,0.611494513,0.234934085,,,,,
4,1.267349400220394,0.427978686,0.917320965,0.427978686,0.104654898,0.374762937,0.374762937,0.104654898,0.613532994,
41,0.5447381435332856,0.323861484,0.323861484,,,,,,,
34,0.6318070145437391,0.325672856,0.325672856,0.602618203,0.554677459,,,,,
51,1.2198032394329323,0.613265541,0.35178314,0.316447193,0.386243281,0.35178314,,,,
74,0.7541632534518806,0.379939181,0.379939181,1.169709345,,,,,,
22,0.8537791990251361,1.287829238,1.052356341,0.66839441,1.287829238,0.680994673,,,,
9,1.2735403320291945,0.819278898,0.104654898,0.710300061,0.607520842,0.104654898,0.550679229,0.819278898,0.427978686,
80,1.1044587020942704,0.28463147,0.28463147,0.232096649,0.484830596,0.309618054,,,,
61,0.6660596268704096,0.379939181,0.968225412,0.247597798,0.968225412,0.968225412,,,,
46,0.5603299246519962,1.184897785,1.184897785,0.747098694,,,,,,
29,0.7105750617539655,0.416770886,0.416770886,,,,,,,
75,0.5770364916789549,0.376633162,0.666497526,0.666497526,,,,,,
48,0.5111665873815507,0.747098694,1.184897785,,,,,,,
51,1.2198032394329323,0.386243281,0.386243281,0.198553665,0.35178314,,,,,
29,0.7105750617539655,0.416770886,0.416770886,,,,,,,
39,0.8470793507644719,0.929623072,0.929623072,1.019310921,1.019310921,0.323861484,,,,
32,0.7745975400022465,0.325672856,0.354698724,0.554677459,0.354698724,0.554677459,,,,
4,1.267349400220394,0.819278898,0.374762937,0.958913285,0.613532994,0.104654898,0.613532994,0.427978686,0.374762937,0.550679229
86,1.1267304002674017,0.344659649,0.302415181,0.302415181,0.378690387,0.527881884,0.344659649,,,
43,0.43227793187581803,0.905400484,,,,,,,,
90,1.253566254906939,0.679654055,0.679654055,0.679654055,0.241126178,0.486906039,0.233462495,0.679654055,,
21,1.1522649563476282,0.47756148,0.47756148,0.47756148,0.796180269,0.680994673,,,,
41,0.5447381435332856,0.602618203,0.602618203,,,,,,,
31,1.1341510595080955,0.72813035,0.498284557,0.737668953,0.696160728,0.593275359,0.498284557,,,
91,1.1765739131355735,0.344659649,0.258261644,0.429890303,0.378690387,0.233462495,0.527881884,0.344659649,,
55,0.5704974489251685,0.339220439,0.339220439,0.339220439,,,,,,
10,1.3588695054946762,0.374762937,0.607520842,0.550679229,0.104654898,0.550679229,0.550679229,,,
52,1.1865802125811071,0.386243281,0.613265541,0.35178314,0.386243281,,,,,
86,1.1267304002674017,0.344659649,0.344659649,0.527881884,0.233462495,0.233462495,,,,
67,0.7751209245806974,0.639468887,1.169709345,0.639468887,0.639468887,,,,,
12,0.8327354829429532,1.047696479,0.631606701,1.172203416,1.172203416,1.172203416,,,,
25,0.7256818225577603,0.554677459,0.554677459,0.325672856,,,,,,
61,0.6660596268704096,0.577017058,0.379939181,0.577017058,0.593733517,0.968225412,,,,
27,0.7324307369875422,0.905400484,0.416770886,0.416770886,,,,,,
32,0.7745975400022465,0.325672856,0.554677459,0.554677459,,,,,,
10,1.3588695054946762,0.374762937,1.790903564,0.374762937,0.819278898,0.104654898,0.104654898,,,
68,0.7312107767879605,0.207004214,0.639468887,0.639468887,0.639468887,0.207004214,,,,
98,0.9657166940240289,0.260911857,0.350474393,0.138968999,0.224114334,0.138968999,0.842129698,,,
28,0.5414721730673883,0.498284557,0.72813035,0.72813035,0.498284557,,,,,
85,0.8154608608671767,0.309618054,0.527881884,0.527881884,0.527881884,0.527881884,0.527881884,,,
93,0.8308190545431655,0.234934085,0.464666176,0.234934085,,,,,,
97,0.7918794106515468,0.842129698,0.224114334,0.842129698,0.304508319,,,,,
0,0.6642373237955173,1.790903564,1.790903564,1.172203416,,,,,,
