punit_idx,E[N],1,2,3,4,5,6,7,8,9,10,11,12,13
50,1.2954904761287604,0.316447193,0.35178314,0.35178314,0.437277919,0.316447193,0.35178314,,,,,,,
0,0.7643295794052146,0.631606701,1.491364227,1.052356341,1.491364227,0.631606701,,,,,,,,
83,0.8361919173457459,0.484830596,0.464666176,0.484830596,0.234934085,0.484830596,0.611494513,,,,,,,
87,1.3441125380456171,0.429890303,0.378690387,0.378690387,0.344659649,0.449589501,0.233462495,0.378690387,0.258261644,0.241126178,,,,
13,1.0358329066359635,0.680994673,0.680994673,0.796180269,0.631606701,0.796180269,1.287829238,0.66839441,0.680994673,0.796180269,,,,
25,0.8327944996430056,0.602618203,0.554677459,0.602618203,0.325672856,0.696160728,,,,,,,,
103,0.974445913682907,0.842129698,0.842129698,0.682465094,0.682465094,0.486906039,0.486906039,,,,,,,
72,1.2531607574697485,1.790903564,0.374762937,0.104654898,0.917320965,0.917320965,0.550679229,0.374762937,0.550679229,0.104654898,0.607520842,,,
73,1.0374256587093835,0.207004214,0.437277919,0.379939181,0.207004214,0.379939181,0.374762937,0.437277919,0.379939181,0.379939181,0.207004214,,,
6,0.9529658029537962,0.917320965,0.374403126,0.917320965,0.427978686,0.917320965,0.958913285,0.341858376,,,,,,
88,0.790792902396178,0.486906039,0.679654055,0.303585458,0.233462495,0.429890303,0.429890303,0.241126178,,,,,,
38,0.931935925268484,0.555764093,0.47539448,1.019310921,0.516423733,1.019310921,0.628415368,1.019310921,0.565013519,,,,,
37,1.3151850883366245,0.498284557,0.593275359,0.593275359,0.929623072,0.696160728,0.696160728,0.47539448,0.593275359,,,,,
77,1.1355122951748706,0.527881884,0.449589501,0.429890303,0.449589501,0.378690387,0.449589501,0.233462495,,,,,,
104,1.1697795639860307,0.258261644,0.486906039,0.258261644,0.260911857,0.842129698,0.304508319,0.224114334,0.138968999,,,,,
50,1.2954904761287604,0.198553665,0.593733517,0.316447193,0.613265541,0.35178314,0.316447193,0.386243281,0.593733517,,,,,
52,1.333124205182652,0.437277919,0.339220439,0.35178314,0.437277919,0.386243281,0.613265541,0.593733517,0.386243281,0.339220439,,,,
52,1.333124205182652,0.35178314,0.386243281,0.577017058,0.613265541,0.577017058,0.339220439,0.577017058,0.560787648,0.577017058,,,,
62,0.796920982676402,0.577017058,0.379939181,0.577017058,0.379939181,0.247597798,0.593733517,0.593733517,,,,,,
104,1.1697795639860307,0.350474393,0.138968999,0.260911857,0.258261644,0.260911857,0.260911857,0.138968999,0.304508319,,,,,
45,0.6024149996725296,0.603195073,0.516423733,0.516423733,,,,,,,,,,
22,0.9749265116268724,1.052356341,1.047696479,1.052356341,0.573607907,0.796180269,1.047696479,1.287829238,,,,,,
67,0.9506199912430192,0.247597798,0.379939181,0.577017058,0.207004214,0.379939181,0.968225412,0.207004214,0.968225412,,,,,
18,0.6116818051309599,0.475596501,0.475596501,0.186730817,,,,,,,,,,
39,1.0529390865511368,0.47539448,0.628415368,1.019310921,1.019310921,0.498284557,0.47539448,0.737668953,0.929623072,0.593275359,,,,
20,0.86433976144512,0.680994673,1.047696479,0.573607907,0.710300061,0.680994673,1.047696479,0.66839441,,,,,,
34,0.7591479692378379,0.354698724,0.354698724,0.323861484,0.323861484,0.323861484,0.554677459,,,,,,,
42,0.7473531539122599,0.929623072,0.929623072,0.555764093,1.019310921,,,,,,,,,
57,0.8440220636929078,0.659421977,0.339220439,0.659421977,0.339220439,,,,,,,,,
78,1.1143741498479287,0.309618054,0.232096649,0.378690387,0.232096649,0.527881884,0.378690387,0.527881884,,,,,,
29,0.7405726121654537,0.905400484,0.659158624,0.905400484,,,,,,,,,,
2,1.314485370429499,1.287829238,1.287829238,1.172203416,1.172203416,0.66839441,0.796180269,1.172203416,1.172203416,0.680994673,0.796180269,,,
49,0.39633184386283443,0.696036812,,,,,,,,,,,,
96,0.7718063488877368,0.224114334,0.338491701,0.611494513,0.464666176,0.338491701,0.338491701,,,,,,,
94,0.9989001528579744,0.464666176,0.464666176,0.338491701,0.464666176,0.464666176,0.234934085,0.527881884,,,,,,
104,1.1697795639860307,0.233462495,0.304508319,0.486906039,0.304508319,0.224114334,0.842129698,0.258261644,0.486906039,0.260911857,0.241126178,,,
1,0.9212483281668269,1.491364227,0.607520842,1.491364227,1.047696479,1.491364227,0.104654898,1.172203416,0.631606701,,,,,
59,0.8667650547346082,0.198553665,0.207004214,0.35178314,0.35178314,0.437277919,0.316447193,0.35178314,,,,,,
90,1.4888049884518797,0.486906039,0.679654055,0.138968999,0.260911857,0.682465094,0.344659649,0.241126178,0.233462495,0.429890303,0.429890303,0.303585458,,
69,0.647057819141214,0.437277919,0.374403126,0.207004214,0.316447193,0.437277919,,,,,,,,
92,1.267838390895669,0.232096649,0.527881884,0.258261644,0.302415181,0.302415181,0.233462495,0.378690387,0.302415181,,,,,
3,1.6120565102775126,0.710300061,0.341858376,0.607520842,0.819278898,0.374762937,0.550679229,0.104654898,0.710300061,0.710300061,0.819278898,0.341858376,,
14,1.3569490454990887,0.47756148,0.47756148,0.710300061,0.47756148,0.66839441,0.607520842,1.790903564,1.790903564,0.796180269,1.047696479,0.680994673,,
93,1.101683711197217,0.527881884,0.258261644,0.234934085,0.464666176,0.332597832,0.527881884,0.258261644,0.304508319,0.302415181,,,,
78,1.1143741498479287,0.378690387,0.464666176,0.344659649,0.28463147,0.344659649,0.344659649,0.302415181,0.344659649,0.309618054,,,,
40,0.9275145203614992,1.019310921,1.019310921,0.929623072,1.019310921,0.323861484,0.47539448,0.47539448,,,,,,
52,1.333124205182652,0.35178314,0.35178314,0.35178314,0.386243281,0.593733517,0.437277919,0.437277919,,,,,,
60,1.02195800070634,0.532606952,0.577017058,0.35178314,0.532606952,0.207004214,0.207004214,0.35178314,0.316447193,,,,,
1,0.9212483281668269,1.790903564,1.491364227,0.631606701,0.550679229,1.491364227,1.790903564,1.172203416,,,,,,
48,0.5598852015326953,0.751646477,1.184897785,0.751646477,,,,,,,,,,
91,1.3534306305895267,0.378690387,0.344659649,0.679654055,0.258261644,0.527881884,0.378690387,0.429890303,0.258261644,0.258261644,0.258261644,,,
35,1.026738611278554,0.354698724,0.554677459,0.325672856,0.354698724,0.325672856,0.602618203,0.323861484,0.323861484,0.929623072,0.737668953,0.323861484,,
1,0.9212483281668269,0.631606701,1.491364227,1.491364227,1.047696479,0.631606701,0.104654898,0.550679229,0.607520842,,,,,
104,1.1697795639860307,0.842129698,0.486906039,0.224114334,0.260911857,0.224114334,0.224114334,0.842129698,0.258261644,,,,,
87,1.3441125380456171,0.429890303,0.449589501,0.241126178,0.233462495,0.233462495,0.233462495,0.429890303,0.241126178,0.527881884,,,,
82,1.0568166460141908,0.484830596,0.302415181,0.302415181,0.484830596,0.309618054,0.484830596,0.484830596,0.232096649,,,,,
94,0.9989001528579744,0.464666176,0.332597832,0.302415181,0.302415181,0.338491701,0.338491701,,,,,,,
105,0.8772368508030279,0.260911857,0.842129698,0.842129698,0.338491701,0.842129698,,,,,,,,
89,1.2150227293481806,0.679654055,0.241126178,0.486906039,0.449589501,0.241126178,0.679654055,0.429890303,0.429890303,,,,,
56,0.9077209750961206,0.35178314,0.386243281,0.35178314,0.35178314,0.339220439,0.339220439,0.560787648,,,,,,
37,1.3151850883366245,0.565013519,0.565013519,0.696160728,0.565013519,0.737668953,0.628415368,0.498284557,0.72813035,0.628415368,0.593275359,,,
4,1.4909249691638635,0.374762937,0.639468887,0.374403126,0.819278898,0.607520842,0.917320965,0.427978686,0.819278898,0.958913285,0.374762937,0.104654898,0.104654898,
2,1.314485370429499,1.172203416,1.172203416,1.172203416,1.052356341,0.631606701,0.66839441,1.052356341,1.052356341,1.172203416,1.047696479,,,
103,0.974445913682907,0.224114334,0.486906039,0.842129698,0.842129698,0.486906039,0.842129698,0.350474393,0.842129698,,,,,
78,1.1143741498479287,0.309618054,0.309618054,0.44347814,0.302415181,0.44347814,0.28463147,0.302415181,,,,,,
44,0.6061772092791599,0.603195073,0.628415368,1.019310921,0.516423733,,,,,,,,,
60,1.02195800070634,0.577017058,0.532606952,0.437277919,0.437277919,0.386243281,0.577017058,0.35178314,0.35178314,,,,,
95,0.9807946942734003,0.464666176,0.332597832,0.611494513,0.332597832,0.611494513,,,,,,,,
79,1.3005074491735151,0.302415181,0.302415181,0.302415181,0.302415181,0.484830596,0.28463147,0.44347814,0.464666176,,,,,
52,1.333124205182652,0.386243281,0.613265541,0.437277919,0.437277919,0.35178314,0.386243281,0.35178314,,,,,,
11,1.2395301304072435,0.607520842,1.790903564,1.047696479,1.172203416,0.607520842,0.66839441,1.047696479,0.550679229,1.172203416,1.047696479,0.796180269,,
80,1.200823288026422,0.28463147,0.309618054,0.302415181,0.309618054,0.527881884,0.527881884,0.484830596,,,,,,
100,1.3150877961986303,0.138968999,0.241126178,0.241126178,0.842129698,0.350474393,0.260911857,0.260911857,0.224114334,,,,,
96,0.7718063488877368,0.611494513,0.338491701,0.611494513,0.234934085,0.224114334,0.338491701,,,,,,,
13,1.0358329066359635,1.172203416,0.680994673,0.680994673,0.631606701,1.172203416,1.172203416,1.047696479,0.66839441,,,,,
24,0.5145888708321048,0.173710044,0.173710044,0.332597832,0.332597832,,,,,,,,,
34,0.7591479692378379,0.325672856,0.354698724,0.354698724,0.325672856,0.325672856,0.323861484,,,,,,,
46,0.6223355942408237,0.603195073,0.516423733,1.184897785,1.184897785,,,,,,,,,
25,0.8327944996430056,0.696160728,0.354698724,0.696160728,0.354698724,,,,,,,,,
51,1.3255824096852107,0.35178314,0.437277919,0.198553665,0.386243281,0.437277919,0.613265541,,,,,,,
103,0.974445913682907,0.486906039,0.138968999,0.260911857,0.260911857,0.350474393,0.842129698,0.486906039,,,,,,
18,0.6116818051309599,0.426455835,0.426455835,0.426455835,,,,,,,,,,
52,1.333124205182652,0.316447193,0.386243281,0.386243281,0.198553665,0.386243281,0.437277919,0.613265541,0.437277919,,,,,
40,0.9275145203614992,0.929623072,0.628415368,0.696160728,0.555764093,0.737668953,0.628415368,0.47539448,0.737668953,0.498284557,,,,
59,0.8667650547346082,0.532606952,0.532606952,0.532606952,0.35178314,0.316447193,0.437277919,,,,,,,
13,1.0358329066359635,1.287829238,0.631606701,1.287829238,1.172203416,1.287829238,0.796180269,1.052356341,1.287829238,,,,,
33,0.7414975833421322,0.554677459,0.696160728,0.354698724,0.696160728,0.602618203,,,,,,,,
