punit_idx,E[N],1,2,3,4,5,6,7,8,9
3,6.997755728977705,0.917320965,0.819278898,0.607520842,0.374762937,0.374762937,0.104654898,0.819278898,,
5,7.723501647966697,0.427978686,0.341858376,0.341858376,0.917320965,0.613532994,0.958913285,,,
83,3.860578985766135,0.332597832,0.234934085,0.332597832,0.611494513,,,,,
24,1.756897380642961,0.173710044,,,,,,,,
17,4.407169968169421,0.186730817,0.186730817,0.710300061,0.710300061,,,,,
49,1.0005118087200728,0.696036812,,,,,,,,
79,5.019939529087108,0.232096649,0.232096649,0.232096649,0.484830596,0.44347814,,,,
101,3.72436759212561,0.350474393,0.350474393,0.682465094,0.682465094,,,,,
97,4.16355478509216,0.842129698,0.260911857,0.842129698,0.304508319,,,,,
65,4.551329895116115,0.379939181,0.435937256,0.379939181,0.379939181,,,,,
37,6.122115738552881,0.929623072,0.696160728,0.47539448,0.565013519,0.737668953,0.929623072,0.593275359,0.696160728,
40,4.165575474875604,0.929623072,1.019310921,0.696160728,1.019310921,0.323861484,,,,
14,6.993141334504265,0.631606701,0.66839441,0.631606701,0.631606701,0.573607907,0.573607907,0.66839441,,
95,4.2865259352900535,0.611494513,0.464666176,0.611494513,0.464666176,0.302415181,0.611494513,,,
17,4.407169968169421,0.475596501,0.475596501,0.426455835,0.475596501,,,,,
60,5.321494750487186,0.437277919,0.198553665,0.577017058,0.316447193,0.316447193,,,,
73,4.849629366887944,0.639468887,0.639468887,0.207004214,0.207004214,,,,,
74,3.784936140334292,0.968225412,0.376633162,0.379939181,1.169709345,,,,,
65,4.551329895116115,0.379939181,1.169709345,1.169709345,0.435937256,0.379939181,,,,
10,6.874702415394175,0.104654898,0.607520842,0.374762937,0.550679229,0.607520842,0.104654898,0.374762937,,
104,5.95057023921178,0.260911857,0.304508319,0.304508319,0.138968999,0.304508319,0.486906039,,,
65,4.551329895116115,0.376633162,0.379939181,1.169709345,0.376633162,0.435937256,,,,
87,6.242171620971667,0.258261644,0.429890303,0.258261644,0.378690387,0.258261644,0.344659649,0.527881884,,
28,2.584228615638022,0.72813035,0.565013519,0.47539448,0.47539448,0.593275359,,,,
75,2.8229600897529408,0.666497526,0.376633162,0.666497526,,,,,,
79,5.019939529087108,0.44347814,0.232096649,0.484830596,0.309618054,0.309618054,,,,
35,5.336655215443378,0.737668953,0.602618203,0.323861484,0.323861484,,,,,
3,6.997755728977705,0.631606701,0.104654898,0.819278898,0.104654898,0.550679229,0.550679229,0.374762937,0.104654898,
56,4.523004310052863,0.339220439,0.593733517,0.560787648,,,,,,
60,5.321494750487186,0.316447193,0.386243281,0.577017058,0.437277919,0.207004214,0.198553665,,,
25,3.3895295360433497,0.325672856,0.354698724,0.354698724,,,,,,
30,5.372817854148163,0.593275359,0.72813035,0.565013519,0.593275359,0.72813035,,,,
65,4.551329895116115,0.376633162,0.435937256,0.379939181,0.666497526,0.379939181,,,,
51,5.225650840204863,0.35178314,0.35178314,0.35178314,0.437277919,0.35178314,0.35178314,,,
7,4.3951958219630205,0.475596501,0.475596501,0.613532994,,,,,,
21,6.554769536156739,0.573607907,0.680994673,1.047696479,0.66839441,0.796180269,0.631606701,1.047696479,1.047696479,
64,3.2679415530095377,0.376633162,0.666497526,0.376633162,,,,,,
64,3.2679415530095377,0.666497526,0.435937256,0.435937256,,,,,,
39,5.060735831248347,1.019310921,1.019310921,0.737668953,0.628415368,0.737668953,0.929623072,,,
67,4.9570213176361815,0.639468887,0.207004214,0.968225412,0.379939181,1.169709345,,,,
17,4.407169968169421,0.710300061,0.426455835,0.426455835,0.186730817,,,,,
30,5.372817854148163,0.593275359,0.47539448,0.593275359,0.593275359,0.47539448,,,,
105,3.8430198372849427,0.842129698,0.842129698,0.842129698,,,,,,
6,4.9170149608322955,0.958913285,0.958913285,0.374403126,,,,,,
77,5.289042261590754,0.378690387,0.527881884,0.233462495,0.233462495,0.527881884,0.258261644,,,
45,2.6252096850262028,0.516423733,0.516423733,0.516423733,,,,,,
7,4.3951958219630205,0.427978686,0.475596501,0.475596501,,,,,,
94,4.892824964926746,0.302415181,0.464666176,0.611494513,0.464666176,0.611494513,0.611494513,,,
67,4.9570213176361815,0.639468887,0.639468887,0.968225412,0.207004214,0.968225412,,,,
96,3.325005736359227,0.224114334,0.304508319,0.304508319,,,,,,
95,4.2865259352900535,0.332597832,0.464666176,0.234934085,0.332597832,0.464666176,,,,
94,4.892824964926746,0.302415181,0.302415181,0.234934085,0.302415181,0.611494513,,,,
73,4.849629366887944,0.968225412,0.968225412,0.639468887,0.341858376,0.917320965,,,,
106,6.607180057633325,0.303585458,0.350474393,0.303585458,0.303585458,0.350474393,,,,
26,4.830252374993766,0.47539448,0.628415368,0.498284557,0.498284557,0.498284557,,,,
67,4.9570213176361815,0.968225412,0.379939181,0.379939181,0.968225412,0.207004214,,,,
15,6.131558954910332,0.631606701,0.47756148,0.710300061,0.66839441,0.47756148,0.631606701,0.550679229,0.550679229,1.047696479
93,4.781839000677097,0.28463147,0.464666176,0.28463147,0.464666176,0.232096649,,,,
7,4.3951958219630205,0.958913285,0.427978686,0.427978686,,,,,,
60,5.321494750487186,0.437277919,0.577017058,0.577017058,0.577017058,0.577017058,0.437277919,,,
38,4.102242181811883,0.628415368,0.628415368,0.628415368,,,,,,
34,3.667374427945643,0.325672856,0.323861484,0.696160728,0.602618203,,,,,
16,5.552396451005136,0.475596501,0.475596501,0.47756148,0.475596501,0.47756148,0.607520842,,,
14,6.993141334504265,1.047696479,1.047696479,1.047696479,0.47756148,0.47756148,0.680994673,,,
106,6.607180057633325,0.429890303,0.233462495,0.241126178,0.233462495,0.429890303,0.241126178,0.233462495,,
0,3.43325657590671,1.491364227,1.790903564,1.790903564,1.491364227,,,,,
81,3.7950665032621194,0.484830596,0.44347814,0.232096649,0.28463147,,,,,
106,6.607180057633325,0.241126178,0.429890303,0.303585458,0.679654055,0.233462495,0.303585458,,,
43,1.4985398087206445,0.416770886,0.905400484,,,,,,,
37,6.122115738552881,0.593275359,0.593275359,0.628415368,0.47539448,0.47539448,0.737668953,0.565013519,,
5,7.723501647966697,0.550679229,0.917320965,0.374762937,0.917320965,0.427978686,0.819278898,,,
26,4.830252374993766,0.498284557,0.498284557,0.929623072,0.593275359,0.929623072,0.47539448,0.593275359,,
27,2.372609067108906,0.416770886,0.416770886,,,,,,,
97,4.16355478509216,0.304508319,0.304508319,0.464666176,0.464666176,0.842129698,,,,
93,4.781839000677097,0.234934085,0.302415181,0.234934085,0.234934085,0.464666176,0.302415181,,,
71,5.216153666771535,0.639468887,0.968225412,0.968225412,0.917320965,0.341858376,0.374762937,0.374403126,,
79,5.019939529087108,0.232096649,0.232096649,0.232096649,0.28463147,0.484830596,,,,
27,2.372609067108906,0.416770886,0.416770886,,,,,,,
21,6.554769536156739,0.66839441,0.66839441,0.680994673,0.47756148,0.796180269,0.66839441,,,
99,6.73465079017721,0.241126178,0.241126178,0.350474393,0.241126178,0.260911857,0.682465094,0.260911857,0.138968999,
99,6.73465079017721,0.682465094,0.138968999,0.241126178,0.486906039,0.429890303,0.682465094,0.842129698,,
66,4.6306901065073225,1.169709345,1.169709345,0.376633162,0.376633162,0.376633162,,,,
11,6.1940300833365285,0.631606701,1.047696479,1.790903564,0.631606701,1.052356341,,,,
83,3.860578985766135,0.611494513,0.234934085,0.332597832,0.234934085,,,,,
4,7.883053644261184,0.374762937,0.427978686,0.917320965,0.374762937,0.374762937,0.917320965,0.819278898,,
94,4.892824964926746,0.611494513,0.332597832,0.332597832,0.338491701,0.332597832,,,,
100,6.200106722519125,0.486906039,0.350474393,0.260911857,0.682465094,0.486906039,0.682465094,,,
5,7.723501647966697,0.374762937,0.819278898,0.104654898,0.341858376,0.374762937,0.374762937,0.639468887,,
8,7.468217953722161,0.550679229,0.710300061,0.710300061,0.475596501,0.426455835,0.427978686,,,
99,6.73465079017721,0.350474393,0.429890303,0.682465094,0.138968999,0.241126178,0.241126178,,,
3,6.997755728977705,0.550679229,1.790903564,0.550679229,0.607520842,0.550679229,0.374762937,0.427978686,0.550679229,
1,4.320606377542938,0.631606701,0.631606701,0.631606701,1.172203416,1.172203416,,,,
35,5.336655215443378,0.323861484,0.323861484,0.737668953,0.602618203,0.498284557,,,,
13,5.9578985136602975,1.052356341,1.052356341,0.66839441,0.631606701,1.052356341,0.796180269,1.172203416,,
103,4.963067737736455,0.486906039,0.486906039,0.682465094,0.486906039,0.842129698,0.842129698,,,
38,4.102242181811883,0.47539448,0.929623072,0.628415368,0.47539448,,,,,
89,5.585465518541899,0.241126178,0.303585458,0.350474393,0.350474393,0.679654055,,,,
91,7.23294345573777,0.344659649,0.241126178,0.258261644,0.344659649,0.527881884,0.233462495,0.679654055,0.241126178,
9,7.306854844452943,0.104654898,0.607520842,0.819278898,0.104654898,0.917320965,0.607520842,0.917320965,,
101,3.72436759212561,0.682465094,0.241126178,0.486906039,0.486906039,0.682465094,,,,
48,2.190833866358096,0.747098694,0.747098694,0.747098694,,,,,,
34,3.667374427945643,0.602618203,0.602618203,0.602618203,0.354698724,,,,,
8,7.468217953722161,0.550679229,0.550679229,0.917320965,0.550679229,0.374762937,0.917320965,0.819278898,,
2,6.583091704658993,0.631606701,0.631606701,1.172203416,1.052356341,0.631606701,,,,
9,7.306854844452943,0.819278898,0.47756148,0.631606701,0.631606701,0.47756148,0.631606701,0.819278898,,
104,5.95057023921178,0.304508319,0.304508319,0.304508319,0.842129698,0.260911857,0.486906039,,,
76,1.672368436707476,0.449589501,,,,,,,,
21,6.554769536156739,0.796180269,0.796180269,0.66839441,1.047696479,0.47756148,0.66839441,,,
67,4.9570213176361815,1.169709345,0.207004214,0.968225412,1.169709345,0.968225412,0.379939181,,,
52,5.595468083444224,0.560787648,0.437277919,0.386243281,0.35178314,0.386243281,0.613265541,,,
18,2.5396650939212604,0.475596501,0.186730817,0.426455835,,,,,,
62,3.3935188754517265,0.379939181,0.379939181,1.169709345,,,,,,
17,4.407169968169421,0.710300061,0.186730817,0.426455835,0.186730817,,,,,
106,6.607180057633325,0.233462495,0.429890303,0.679654055,0.233462495,0.241126178,0.241126178,0.429890303,,
52,5.595468083444224,0.613265541,0.437277919,0.437277919,0.560787648,0.35178314,0.560787648,0.577017058,,
65,4.551329895116115,1.169709345,0.435937256,0.376633162,0.666497526,0.666497526,,,,
46,2.662178795832843,1.184897785,1.184897785,0.603195073,,,,,,
22,5.201497727359385,0.680994673,0.796180269,0.680994673,0.680994673,,,,,
30,5.372817854148163,0.737668953,0.565013519,0.565013519,0.72813035,0.565013519,0.593275359,,,
12,4.86964408876822,1.491364227,1.491364227,1.491364227,,,,,,
92,5.646561320493209,0.344659649,0.344659649,0.344659649,0.344659649,0.378690387,0.233462495,,,
42,3.103347557065468,0.929623072,1.019310921,0.555764093,,,,,,
0,3.43325657590671,1.172203416,1.491364227,,,,,,,
96,3.325005736359227,0.464666176,0.464666176,0.338491701,,,,,,
53,4.335956097234719,0.593733517,0.339220439,0.577017058,0.560787648,0.593733517,,,,
86,5.731212273632842,0.378690387,0.258261644,0.344659649,0.429890303,0.378690387,0.258261644,0.233462495,,
39,5.060735831248347,0.555764093,0.929623072,0.929623072,0.555764093,,,,,
100,6.200106722519125,0.138968999,0.682465094,0.350474393,0.241126178,0.486906039,0.682465094,0.260911857,,
82,3.669810434059364,0.28463147,0.44347814,0.44347814,,,,,,
7,4.3951958219630205,0.613532994,0.613532994,,,,,,,
14,6.993141334504265,0.680994673,0.66839441,1.047696479,0.66839441,0.631606701,0.680994673,,,
62,3.3935188754517265,0.247597798,,,,,,,,
56,4.523004310052863,0.560787648,0.339220439,0.339220439,,,,,,
3,6.997755728977705,0.104654898,0.104654898,0.374762937,1.790903564,0.917320965,0.104654898,0.550679229,,
98,5.164588084747241,0.842129698,0.842129698,0.486906039,0.260911857,0.304508319,0.260911857,,,
40,4.165575474875604,0.555764093,0.323861484,0.696160728,1.019310921,0.929623072,,,,
92,5.646561320493209,0.233462495,0.258261644,0.258261644,0.258261644,0.344659649,,,,
2,6.583091704658993,0.66839441,1.052356341,1.047696479,0.680994673,1.172203416,0.680994673,,,
74,3.784936140334292,0.968225412,0.968225412,0.968225412,0.379939181,,,,,
89,5.585465518541899,0.303585458,0.344659649,0.241126178,0.303585458,0.679654055,,,,
92,5.646561320493209,0.527881884,0.302415181,0.258261644,0.233462495,0.302415181,,,,
31,5.691090989163861,0.47539448,0.696160728,0.696160728,0.565013519,0.696160728,0.696160728,,,
56,4.523004310052863,0.593733517,0.339220439,0.560787648,,,,,,
13,5.9578985136602975,1.052356341,1.052356341,1.052356341,0.680994673,0.680994673,1.047696479,,,
62,3.3935188754517265,0.247597798,,,,,,,,
43,1.4985398087206445,0.416770886,0.416770886,,,,,,,
15,6.131558954910332,0.680994673,0.573607907,0.47756148,0.573607907,0.710300061,0.680994673,,,
101,3.72436759212561,0.682465094,0.486906039,0.138968999,0.138968999,,,,,
65,4.551329895116115,0.379939181,0.435937256,0.376633162,0.376633162,,,,,
68,4.503484363865487,0.437277919,0.532606952,0.341858376,0.532606952,0.341858376,,,,
5,7.723501647966697,0.917320965,0.374762937,0.917320965,0.917320965,0.639468887,0.917320965,,,
53,4.335956097234719,0.560787648,0.560787648,0.577017058,0.339220439,0.577017058,,,,
20,4.362951592633542,0.573607907,0.573607907,0.680994673,0.680994673,,,,,
105,3.8430198372849427,0.224114334,0.304508319,,,,,,,
51,5.225650840204863,0.35178314,0.198553665,0.198553665,0.437277919,0.437277919,0.437277919,,,
79,5.019939529087108,0.44347814,0.309618054,0.28463147,0.309618054,,,,,
88,3.582326601804646,0.429890303,0.679654055,0.429890303,0.241126178,,,,,
22,5.201497727359385,0.573607907,0.680994673,0.66839441,1.287829238,0.680994673,,,,
2,6.583091704658993,0.631606701,1.047696479,1.172203416,1.047696479,1.790903564,0.47756148,1.052356341,1.052356341,
56,4.523004310052863,0.593733517,0.339220439,0.560787648,,,,,,
104,5.95057023921178,0.304508319,0.304508319,0.304508319,0.138968999,0.304508319,0.224114334,,,
32,4.556190458194253,0.602618203,0.354698724,0.354698724,0.602618203,,,,,
87,6.242171620971667,0.344659649,0.233462495,0.429890303,0.527881884,0.344659649,0.527881884,,,
1,4.320606377542938,0.104654898,1.790903564,1.790903564,1.491364227,1.172203416,,,,
30,5.372817854148163,0.593275359,0.737668953,0.565013519,0.47539448,0.737668953,0.72813035,,,
4,7.883053644261184,0.958913285,0.613532994,0.374762937,0.427978686,0.917320965,0.374762937,,,
97,4.16355478509216,0.304508319,0.304508319,0.224114334,,,,,,
28,2.584228615638022,0.565013519,0.565013519,,,,,,,
12,4.86964408876822,1.047696479,1.172203416,1.047696479,1.047696479,,,,,
34,3.667374427945643,0.602618203,0.325672856,0.323861484,,,,,,
62,3.3935188754517265,0.247597798,,,,,,,,
71,5.216153666771535,0.207004214,0.341858376,0.374762937,0.639468887,0.341858376,0.639468887,,,
36,5.993454685222217,0.593275359,0.593275359,0.593275359,0.737668953,0.498284557,,,,
12,4.86964408876822,1.790903564,1.172203416,1.790903564,1.790903564,,,,,
25,3.3895295360433497,0.224114334,0.224114334,0.325672856,0.554677459,,,,,
21,6.554769536156739,1.047696479,0.573607907,1.047696479,0.796180269,0.66839441,0.796180269,,,
103,4.963067737736455,0.682465094,0.486906039,0.682465094,0.350474393,0.260911857,,,,
39,5.060735831248347,1.019310921,0.929623072,0.628415368,0.929623072,,,,,
48,2.190833866358096,0.747098694,1.184897785,0.751646477,,,,,,
16,5.552396451005136,0.47756148,0.550679229,0.426455835,0.710300061,0.426455835,0.47756148,,,
0,3.43325657590671,1.172203416,1.491364227,1.790903564,,,,,,
53,4.335956097234719,0.339220439,0.560787648,0.560787648,0.577017058,,,,,
98,5.164588084747241,0.260911857,0.486906039,0.224114334,0.486906039,0.224114334,0.486906039,,,
59,4.416325072443701,0.316447193,0.437277919,0.386243281,0.386243281,,,,,
30,5.372817854148163,0.72813035,0.47539448,0.498284557,0.47539448,0.737668953,0.565013519,,,
90,6.688057185869882,0.241126178,0.241126178,0.241126178,0.486906039,0.303585458,0.241126178,0.303585458,0.233462495,
19,3.475776856937456,0.426455835,0.475596501,0.426455835,0.475596501,,,,,
30,5.372817854148163,0.565013519,0.47539448,0.72813035,0.47539448,0.47539448,,,,
87,6.242171620971667,0.233462495,0.258261644,0.233462495,0.258261644,0.429890303,0.378690387,,,
36,5.993454685222217,0.696160728,0.696160728,0.498284557,0.498284557,0.47539448,0.498284557,0.696160728,,
31,5.691090989163861,0.593275359,0.498284557,0.696160728,0.696160728,0.47539448,,,,
80,5.025747377785587,0.484830596,0.484830596,0.28463147,0.484830596,0.484830596,,,,
46,2.662178795832843,1.184897785,0.603195073,0.603195073,,,,,,
44,2.2336006846903382,0.516423733,1.184897785,0.516423733,,,,,,
15,6.131558954910332,0.710300061,0.680994673,0.426455835,0.710300061,0.710300061,0.47756148,,,
22,5.201497727359385,0.680994673,0.680994673,1.047696479,1.047696479,1.287829238,0.66839441,,,
4,7.883053644261184,0.607520842,0.104654898,0.917320965,0.819278898,0.917320965,0.427978686,0.607520842,,
18,2.5396650939212604,0.426455835,0.426455835,0.186730817,,,,,,
79,5.019939529087108,0.232096649,0.28463147,0.44347814,0.309618054,0.309618054,,,,
40,4.165575474875604,0.696160728,0.696160728,0.555764093,1.019310921,0.929623072,,,,
46,2.662178795832843,1.184897785,0.747098694,1.184897785,,,,,,
52,5.595468083444224,0.437277919,0.613265541,0.35178314,0.386243281,0.560787648,0.386243281,,,
19,3.475776856937456,0.426455835,0.475596501,0.186730817,0.426455835,,,,,
