punit_idx,E[N],1,2,3,4,5,6,7,8,9,10,11,12,13
73,9.001554154864149,0.917320965,1.169709345,0.207004214,1.169709345,0.577017058,0.639468887,0.104654898,0.207004214,0.968225412,0.104654898,1.169709345,,
67,8.110886454718884,0.379939181,0.104654898,0.577017058,0.104654898,0.379939181,0.247597798,0.379939181,0.341858376,0.104654898,,,,
65,6.773453351863119,0.376633162,0.247597798,1.169709345,0.247597798,1.169709345,0.690604426,0.666497526,,,,,,
90,10.782743891528032,0.260911857,0.378690387,0.344659649,0.429890303,0.303585458,0.350474393,0.378690387,0.679654055,0.233462495,0.378690387,0.344659649,0.241126178,
8,11.910739298582868,0.550679229,0.426455835,0.710300061,0.427978686,0.607520842,0.958913285,0.550679229,0.958913285,0.710300061,0.550679229,0.607520842,0.550679229,
82,5.777801949880675,0.44347814,0.28463147,0.44347814,0.232096649,,,,,,,,,
36,9.750398792216938,0.498284557,0.593275359,0.737668953,0.565013519,0.696160728,0.565013519,0.929623072,,,,,,
27,2.8627104027894763,0.905400484,0.416770886,0.416770886,,,,,,,,,,
36,9.750398792216938,0.47539448,0.929623072,0.498284557,0.47539448,0.929623072,0.929623072,0.555764093,0.565013519,,,,,
96,6.162398312610662,0.302415181,0.302415181,0.611494513,0.611494513,0.234934085,0.611494513,0.224114334,0.611494513,,,,,
15,11.42344959442308,0.607520842,0.550679229,0.631606701,0.607520842,0.66839441,0.427978686,0.819278898,0.47756148,0.66839441,0.573607907,0.631606701,0.427978686,
20,7.144588082295538,0.680994673,0.796180269,1.287829238,0.680994673,1.287829238,1.047696479,0.796180269,0.796180269,,,,,
104,8.77661769465471,0.304508319,0.260911857,0.682465094,0.682465094,0.486906039,0.260911857,0.304508319,,,,,,
60,8.969551355494337,0.532606952,0.613265541,0.207004214,0.207004214,0.316447193,0.207004214,0.577017058,0.198553665,0.198553665,,,,
22,7.372550806875913,0.573607907,1.052356341,1.052356341,1.052356341,1.287829238,1.287829238,1.047696479,,,,,,
85,9.909112807253361,0.28463147,0.304508319,0.611494513,0.302415181,0.302415181,0.464666176,0.234934085,0.234934085,0.332597832,0.332597832,,,
79,7.644393310801226,0.464666176,0.232096649,0.302415181,0.309618054,0.464666176,0.484830596,0.232096649,,,,,,
45,3.357231873400357,0.516423733,1.019310921,1.184897785,1.184897785,0.751646477,1.184897785,,,,,,,
16,10.519658121888114,0.607520842,0.475596501,0.66839441,0.47756148,0.427978686,0.607520842,0.47756148,0.475596501,0.550679229,0.475596501,,,
41,5.426398136892607,0.555764093,0.555764093,0.323861484,0.696160728,,,,,,,,,
62,6.7945776803803355,0.379939181,1.169709345,0.968225412,0.593733517,0.379939181,0.376633162,0.247597798,,,,,,
86,9.437775390345399,0.260911857,0.258261644,0.258261644,0.378690387,0.527881884,0.241126178,0.378690387,0.258261644,0.527881884,0.258261644,,,
99,9.85969822593226,0.486906039,0.241126178,0.429890303,0.241126178,0.350474393,0.486906039,0.350474393,0.679654055,,,,,
15,11.42344959442308,0.427978686,0.710300061,0.550679229,0.475596501,0.607520842,0.47756148,0.607520842,0.66839441,0.819278898,0.710300061,0.680994673,,
15,11.42344959442308,0.573607907,1.047696479,0.427978686,0.550679229,0.680994673,0.710300061,0.427978686,0.607520842,0.66839441,0.427978686,0.427978686,,
101,6.260428750187016,0.350474393,0.682465094,0.486906039,0.486906039,0.679654055,0.682465094,0.241126178,,,,,,
41,5.426398136892607,0.696160728,0.602618203,0.323861484,0.555764093,,,,,,,,,
10,10.312683624854003,0.374762937,0.104654898,0.917320965,0.917320965,0.607520842,0.427978686,0.819278898,0.47756148,0.550679229,,,,
65,6.773453351863119,0.666497526,0.379939181,0.379939181,0.690604426,1.169709345,0.690604426,,,,,,,
22,7.372550806875913,0.796180269,1.047696479,0.796180269,0.66839441,1.047696479,1.047696479,0.796180269,0.680994673,,,,,
96,6.162398312610662,0.224114334,0.464666176,0.302415181,0.842129698,0.304508319,0.464666176,0.464666176,0.611494513,,,,,
1,8.353570291088257,0.607520842,0.819278898,1.491364227,1.172203416,1.491364227,0.104654898,0.631606701,0.819278898,,,,,
83,6.17690072609115,0.332597832,0.234934085,0.173710044,0.332597832,0.332597832,0.332597832,,,,,,,
51,7.135536269025536,0.593733517,0.560787648,0.560787648,0.593733517,0.593733517,0.316447193,0.386243281,0.593733517,,,,,
87,9.056050263088068,0.344659649,0.679654055,0.309618054,0.527881884,0.527881884,0.258261644,0.309618054,0.258261644,,,,,
35,8.977115761973105,0.737668953,0.602618203,0.602618203,0.498284557,0.737668953,0.498284557,0.554677459,,,,,,
21,9.394616897886962,0.796180269,1.287829238,0.66839441,1.052356341,0.573607907,0.573607907,0.47756148,0.680994673,,,,,
15,11.42344959442308,0.607520842,0.710300061,0.66839441,0.426455835,0.573607907,0.680994673,0.710300061,0.573607907,0.426455835,0.550679229,0.573607907,,
66,6.884852111907833,0.247597798,0.247597798,0.376633162,0.247597798,0.376633162,0.376633162,,,,,,,
86,9.437775390345399,0.309618054,0.260911857,0.679654055,0.679654055,0.679654055,0.527881884,0.260911857,0.527881884,0.309618054,0.309618054,0.378690387,,
25,5.368370531547688,0.354698724,0.602618203,0.602618203,0.554677459,,,,,,,,,
94,6.247628579182414,0.611494513,0.611494513,0.611494513,0.332597832,0.302415181,0.332597832,,,,,,,
72,9.86173401124044,0.819278898,0.550679229,0.427978686,0.607520842,0.639468887,0.550679229,0.374762937,0.374762937,0.427978686,,,,
28,4.704767064221415,0.498284557,0.565013519,0.47539448,0.565013519,0.498284557,,,,,,,,
60,8.969551355494337,0.207004214,0.386243281,0.316447193,0.577017058,0.613265541,0.577017058,0.35178314,0.532606952,0.35178314,,,,
105,5.901981292402512,0.338491701,0.338491701,0.842129698,0.338491701,0.842129698,,,,,,,,
53,7.809830200658979,0.386243281,0.386243281,0.593733517,0.339220439,0.339220439,0.339220439,0.577017058,0.613265541,,,,,
43,2.4374544355503005,0.416770886,0.659158624,0.659158624,,,,,,,,,,
85,9.909112807253361,0.309618054,0.464666176,0.28463147,0.611494513,0.44347814,0.332597832,0.611494513,0.527881884,0.309618054,0.527881884,,,
17,7.421939590972256,0.186730817,0.475596501,0.186730817,0.475596501,0.427978686,0.710300061,,,,,,,
13,8.528226139661662,1.172203416,0.66839441,0.631606701,0.66839441,0.796180269,0.796180269,1.052356341,1.052356341,,,,,
20,7.144588082295538,0.426455835,0.680994673,0.796180269,0.796180269,0.66839441,0.796180269,0.47756148,0.573607907,,,,,
28,4.704767064221415,0.565013519,0.737668953,0.593275359,0.737668953,0.593275359,0.593275359,,,,,,,
78,7.421215503524459,0.309618054,0.302415181,0.378690387,0.484830596,0.484830596,0.484830596,0.527881884,0.527881884,,,,,
42,5.157824440358568,0.628415368,0.929623072,1.019310921,0.516423733,0.929623072,0.555764093,,,,,,,
37,8.739010117208037,0.929623072,0.72813035,0.565013519,0.72813035,0.737668953,0.47539448,0.47539448,0.929623072,,,,,
100,9.199590921027239,0.486906039,0.486906039,0.260911857,0.682465094,0.138968999,0.241126178,0.350474393,,,,,,
25,5.368370531547688,0.325672856,0.554677459,0.325672856,0.602618203,,,,,,,,,
75,4.653639429264645,0.376633162,0.376633162,0.379939181,0.666497526,,,,,,,,,
32,6.895859962195834,0.498284557,0.354698724,0.602618203,0.602618203,0.737668953,0.554677459,0.696160728,,,,,,
15,11.42344959442308,0.680994673,0.607520842,0.47756148,0.550679229,0.573607907,0.631606701,0.680994673,0.680994673,0.426455835,0.796180269,0.426455835,0.796180269,
57,5.7211563448073965,0.593733517,0.339220439,0.198553665,0.593733517,0.593733517,0.659421977,,,,,,,
17,7.421939590972256,0.186730817,0.186730817,0.186730817,0.427978686,0.47756148,0.613532994,0.426455835,0.613532994,,,,,
35,8.977115761973105,0.554677459,0.323861484,0.555764093,0.696160728,0.555764093,0.602618203,0.323861484,0.498284557,,,,,
28,4.704767064221415,0.682465094,0.72813035,0.47539448,0.593275359,0.682465094,0.47539448,0.565013519,,,,,,
0,5.191000706792095,1.172203416,0.631606701,1.172203416,1.790903564,,,,,,,,,
37,8.739010117208037,0.47539448,0.72813035,0.47539448,0.929623072,0.929623072,0.72813035,0.498284557,0.593275359,,,,,
11,10.190557173937158,0.680994673,1.790903564,1.052356341,0.680994673,1.052356341,1.047696479,0.680994673,0.680994673,,,,,
15,11.42344959442308,0.550679229,0.607520842,1.790903564,0.680994673,1.790903564,0.631606701,0.819278898,0.47756148,0.819278898,0.607520842,1.047696479,0.680994673,0.680994673
8,11.910739298582868,0.374762937,0.374762937,0.607520842,0.427978686,0.374762937,0.427978686,0.427978686,0.917320965,,,,,
41,5.426398136892607,0.696160728,0.696160728,0.323861484,0.555764093,,,,,,,,,
89,8.498222188163776,0.258261644,0.241126178,0.233462495,0.429890303,0.429890303,0.350474393,0.241126178,0.258261644,0.260911857,0.350474393,0.138968999,,
87,9.056050263088068,0.679654055,0.241126178,0.429890303,0.258261644,0.309618054,0.309618054,0.233462495,0.258261644,0.309618054,,,,
0,5.191000706792095,1.491364227,1.172203416,1.491364227,0.631606701,,,,,,,,,
30,7.1296049171495275,0.47539448,0.72813035,0.929623072,0.737668953,0.47539448,0.696160728,0.565013519,0.929623072,,,,,
74,6.8266641128991346,0.104654898,1.169709345,0.376633162,0.577017058,0.247597798,0.379939181,0.247597798,0.639468887,,,,,
79,7.644393310801226,0.28463147,0.484830596,0.464666176,0.378690387,0.527881884,0.28463147,0.527881884,0.484830596,0.309618054,0.378690387,,,
31,8.870573939175753,0.554677459,0.47539448,0.929623072,0.565013519,0.47539448,0.554677459,0.696160728,0.929623072,0.737668953,,,,
